VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,2120,12.21,16.99,389892,4760581.32,179513,2942588.87,586638.35,329822.48,123880.97,-1817992.4500000002,-61.78207457163393,0.4604172437495512,0.6181154510768866
7245,PROXIMO SPIRITS INC.,8159,19.69,25.99,236352,4653770.88,111901,2955843.9899999998,820540.35,205597.63999999998,38994.78,-1697926.8900000001,-57.44304827129933,0.4734506160303276,0.6351503041765563
480,BACARDI USA INC,4243,14.49,19.99,305556,4427506.44,139738,3028882.62,648036.37,256747.78,89286.27,-1398623.8200000003,-46.176230493871046,0.4573236984382568,0.6841057514080092
8112,MOET HENNESSY USA INC,6654,27.2,39.99,161520,4393344.0,65768,2719683.2600000002,642458.29,7369.63,48347.26,-1673660.7399999998,-61.53881095697885,0.40718177315502724,0.619046280009032
3960,DIAGEO NORTH AMERICA INC,8512,14.72,19.99,291808,4295413.76,130165,2590930.35,643091.35,102481.3,257032.07,-1704483.4099999997,-65.78653918658985,0.44606385020287315,0.6031852796411399
7245,PROXIMO SPIRITS INC.,3802,13.43,18.99,308264,4139985.52,143293,2700448.07,632100.7699999999,263276.14999999997,38994.78,-1439537.4500000002,-53.30735539750632,0.4648385799185114,0.6522844239319948
11567,CAMPARI AMERICA,3826,15.74,19.99,261528,4116450.7199999997,121027,2499899.73,669841.47,222359.61,20964.81,-1616550.9899999998,-64.66463316910713,0.46276880486984184,0.6072949489845952
8112,MOET HENNESSY USA INC,42188,34.01,52.99000000000001,119316,4057937.16,55220,2878506.8,238992.48,6204.55,48347.26,-1179430.3600000003,-40.97368677398992,0.4628046531898488,0.7093522364944655
17035,PERNOD RICARD USA,3423,21.25,26.99,184652,3923855.0,85745,2253673.55,700522.7999999999,157544.94,123780.22,-1670181.4500000002,-74.10928925353898,0.4643599852695882,0.5743518937371539
8004,SAZERAC CO INC,5138,11.1,13.99,351816,3905157.6,157985,2200660.65,489586.99,124381.88,50293.62,-1704496.9500000002,-77.45387504429637,0.44905575641812767,0.5635267191265213
17035,PERNOD RICARD USA,5734,15.82,21.99,246556,3900515.92,114523,2461440.77,597595.36,210420.88999999998,123780.22,-1439075.15,-58.464748270176734,0.4644908256136537,0.6310551784646992
480,BACARDI USA INC,4227,14.17,17.99,273176,3870903.92,150294,2646447.06,355157.3,276148.18,89286.27,-1224456.8599999999,-46.26795217282751,0.550172782382054,0.6836767625066758
4425,MARTIGNETTI COMPANIES,3505,13.76,18.99,277196,3814216.96,130489,2506894.11,626391.2699999999,102732.39,144929.24,-1307322.85,-52.149105332574266,0.4707463311158891,0.6572500034187881
1128,BROWN-FORMAN CORP,1232,15.93,22.99,211728,3372827.04,100894,2372517.06,748802.5199999999,79431.81,68601.68,-1000309.98,-42.162393555138436,0.47652648681326987,0.7034209082953747
